entry_index,exit_index,entry_price,exit_price,pnl,reason
2020-11-23,2020-11-24,0.9398,0.9,-42.349436050223396,Stop-loss hit
2020-11-27,2020-12-11,0.9199,0.914,-6.4137406239808845,Stop-loss hit
2020-12-11,2020-12-14,0.914,0.9051,-9.737417943107241,Stop-loss hit
2020-12-16,2020-12-17,0.9941,1.16,-166.88461925359616,Stop-loss hit
2021-01-04,2021-01-05,1.39,1.41,-14.388489208633109,Stop-loss hit
2021-01-08,2021-01-15,1.24,1.16,-64.51612903225812,Stop-loss hit
2021-01-15,2021-01-20,1.16,1.21,43.10344827586211,Take-profit hit
2021-01-22,2021-01-25,1.17,1.13,-34.18803418803422,Stop-loss hit
2021-01-29,2021-02-01,1.21,1.87,-545.4545454545456,Stop-loss hit
2021-06-17,2021-06-30,1.21,1.16,-41.322314049586815,Take-profit hit
2021-07-07,2021-07-08,1.09,1.06,-27.52293577981654,Stop-loss hit
2021-07-12,2021-07-14,1.06,1.12,56.6037735849057,Take-profit hit
2021-07-15,2021-07-16,1.06,1.01,-47.169811320754754,Stop-loss hit
2021-07-29,2021-07-30,1.05,1.06,-9.52380952380953,Stop-loss hit
2021-08-09,2021-08-10,0.9819,0.9812,-0.7129035543334697,Stop-loss hit
2021-08-17,2021-08-18,0.97,0.9307,-40.51546391752578,Stop-loss hit
2021-08-27,2021-09-07,1.01,1.02,-9.90099009900991,Take-profit hit
2021-09-10,2021-09-13,0.9313,0.9271,-4.509824975840203,Stop-loss hit
2021-09-28,2021-09-29,0.8018,0.777,-30.930406585183253,Stop-loss hit
2021-10-05,2021-10-07,0.7946,0.8008,7.802668009061143,Take-profit hit
2021-10-13,2021-10-14,0.9062,0.8861,22.18053409843302,Stop-loss hit
2021-10-19,2021-10-22,0.9098,0.9023,8.243570015388066,Take-profit hit
2021-10-28,2021-11-01,0.9488,0.9597,-11.488195615514357,Stop-loss hit
2021-11-01,2021-11-02,0.9597,0.923,38.24111701573404,Take-profit hit
2021-11-05,2021-11-08,0.9517,0.9769,-26.478932436692237,Stop-loss hit
2021-11-11,2021-11-12,1.02,1.03,-9.803921568627459,Stop-loss hit
2021-11-22,2021-11-23,0.9803,0.9313,-49.98469856166473,Stop-loss hit
2021-12-10,2021-12-14,0.8053,0.787,-22.724450515335878,Stop-loss hit
2021-12-23,2021-12-29,0.8392,0.809,35.986653956148594,Take-profit hit
2021-12-31,2022-01-04,0.8504,0.826,28.69238005644413,Take-profit hit
2022-01-06,2022-01-10,0.7678,0.7675,-0.39072675175837196,Stop-loss hit
2022-01-10,2022-01-12,0.7675,0.7999,42.21498371335518,Take-profit hit
2022-01-18,2022-01-19,0.8127,0.8964,-102.99003322259136,Stop-loss hit
2022-01-27,2022-01-28,0.7421,0.7172,-33.553429456946546,Stop-loss hit
2022-02-03,2022-02-07,0.705,0.7417,52.05673758865258,Take-profit hit
2022-02-11,2022-02-14,0.7625,0.7869,-32.00000000000012,Stop-loss hit
2022-03-01,2022-03-02,0.8582,0.8498,9.787928221859664,Stop-loss hit
2022-03-04,2022-03-07,0.881,0.936,-62.42905788876283,Stop-loss hit
2022-03-28,2022-03-30,0.8888,0.9309,47.36723672367228,Take-profit hit
2022-04-05,2022-04-07,0.892,0.9112,21.524663677130036,Take-profit hit
2022-04-12,2022-04-13,0.9612,0.9584,2.9130253849355228,Stop-loss hit
2022-04-20,2022-04-21,0.8901,0.83,-67.5205033142344,Stop-loss hit
2022-05-06,2022-05-09,0.6873,0.6398,-69.11101411319655,Stop-loss hit
2022-05-19,2022-05-25,0.6904,0.6679,32.58980301274618,Take-profit hit
2022-05-27,2022-06-01,0.7169,0.6728,61.5148556284001,Take-profit hit
2022-06-06,2022-06-08,0.7022,0.6988,4.841925377385459,Take-profit hit
2022-06-09,2022-06-13,0.67,0.6564,-20.29850746268665,Stop-loss hit
2022-06-13,2022-06-14,0.6564,0.639,-26.508226691042005,Stop-loss hit
2022-06-16,2022-06-17,0.6523,0.6285,-36.48627931933166,Stop-loss hit
2022-06-22,2022-06-23,0.6202,0.5664,-86.74621089970971,Stop-loss hit
2022-06-28,2022-06-29,0.5798,0.5578,-37.94411866160748,Stop-loss hit
2022-07-05,2022-07-07,0.5337,0.5604,50.028105677346936,Take-profit hit
2022-07-12,2022-07-14,0.5229,0.4906,-61.77089309619439,Stop-loss hit
2022-07-22,2022-07-26,0.5705,0.548,39.43908851884306,Take-profit hit
2022-07-27,2022-07-28,0.5905,0.6142,-40.135478408128606,Stop-loss hit
2022-08-04,2022-08-11,0.6195,0.6241,-7.425343018563256,Take-profit hit
2022-08-12,2022-08-16,0.6524,0.636,25.13795217657874,Take-profit hit
2022-08-17,2022-08-19,0.6173,0.5857,-51.19066904260483,Stop-loss hit
2022-08-26,2022-08-31,0.5575,0.5308,-47.89237668161425,Stop-loss hit
2022-09-12,2022-09-13,0.554,0.5293,44.58483754512645,Take-profit hit
2022-09-20,2022-09-21,0.518,0.5248,13.127413127413181,Take-profit hit
2022-09-22,2022-09-23,0.508,0.5,-15.748031496063005,Stop-loss hit
2022-10-03,2022-10-04,0.5622,0.5825,-36.10814656705796,Stop-loss hit
2022-10-20,2022-10-21,0.5779,0.6391,-105.9006748572418,Stop-loss hit
2022-11-03,2022-11-04,0.5895,0.6432,91.09414758269715,Stop-loss hit
2022-11-04,2022-11-07,0.6432,0.6871,-68.25248756218913,Stop-loss hit
2022-11-10,2022-11-15,0.6844,0.6784,8.766803039158395,Take-profit hit
2022-11-17,2022-11-22,0.6354,0.656,32.420522505508444,Take-profit hit
2022-11-30,2022-12-01,0.6972,0.6972,0.0,Stop-loss hit
2022-12-06,2022-12-07,0.6493,0.681,48.821808101031976,Take-profit hit
2022-12-15,2022-12-22,0.6499,0.6734,36.15940913986761,Take-profit hit
2023-01-03,2023-01-04,0.701,0.7427,-59.48644793152649,Stop-loss hit
2023-01-17,2023-01-18,0.8069,0.7874,24.166563390754696,Take-profit hit
2023-01-19,2023-01-20,0.8131,0.843,-36.772844668552366,Stop-loss hit
2023-01-26,2023-01-27,0.7697,0.768,-2.208652721839723,Stop-loss hit
2023-01-31,2023-02-02,0.773,0.785,15.523932729624851,Take-profit hit
2023-02-03,2023-02-13,0.7581,0.7316,-34.955810579079234,Stop-loss hit
2023-02-21,2023-02-28,0.6923,0.6885,-5.488949877220895,Take-profit hit
2023-03-08,2023-03-09,0.6563,0.651,-8.075575194270868,Stop-loss hit
2023-03-17,2023-03-20,0.7271,0.7545,-37.683949938110274,Stop-loss hit
2023-03-28,2023-03-30,0.8215,0.8848,-77.05416920267805,Stop-loss hit
2023-04-20,2023-04-21,0.9164,0.8765,-43.539938891313895,Stop-loss hit
2023-05-05,2023-05-09,0.8865,0.8466,45.00846023688656,Stop-loss hit
2023-05-09,2023-05-10,0.8466,0.8314,-17.95416961965508,Stop-loss hit
2023-05-24,2023-05-25,0.6753,0.6946,28.57989041907298,Take-profit hit
2023-05-30,2023-05-31,0.6748,0.6883,20.00592768227633,Take-profit hit
2023-06-01,2023-06-07,0.7259,0.7051,28.65408458465359,Take-profit hit
2023-06-14,2023-06-15,0.689,0.6711,-25.97968069666171,Stop-loss hit
2023-06-22,2023-06-23,0.6657,0.6519,-20.73005858494806,Stop-loss hit
2023-07-05,2023-07-07,0.6923,0.6835,12.711252347248346,Stop-loss hit
2023-07-07,2023-07-10,0.6835,0.6987,-22.238478419897575,Stop-loss hit
2023-07-21,2023-07-25,0.6786,0.7122,49.51370468611859,Take-profit hit
2023-07-31,2023-08-01,0.7434,0.71,44.92870594565508,Take-profit hit
2023-08-02,2023-08-07,0.6864,0.6692,-25.058275058275047,Stop-loss hit
2023-08-10,2023-08-14,0.64,0.6664,41.249999999999964,Take-profit hit
2023-08-16,2023-08-17,0.643,0.6275,-24.105754276827476,Stop-loss hit
2023-08-23,2023-08-25,0.7147,0.6573,80.31341821743389,Take-profit hit
2023-08-31,2023-09-05,0.6275,0.5877,-63.42629482071705,Stop-loss hit
2023-09-14,2023-09-15,0.6344,0.649,-23.013871374527202,Stop-loss hit
2023-09-22,2023-09-25,0.5842,0.5648,-33.20780554604602,Stop-loss hit
2023-10-13,2023-10-19,0.5031,0.4925,21.069369906579208,Take-profit hit
2023-10-20,2023-10-23,0.4878,0.4747,-26.855268552685526,Stop-loss hit
2023-10-31,2023-11-01,0.4463,0.4323,-31.369034281873084,Stop-loss hit
2023-11-08,2023-11-14,0.4315,0.4672,82.73464658169179,Stop-loss hit
2023-11-14,2023-11-22,0.4672,0.4655,3.638698630136942,Take-profit hit
2023-11-28,2023-11-29,0.4801,0.5269,-97.4796917308894,Stop-loss hit
2023-12-11,2023-12-12,0.4796,0.473,-13.761467889908362,Stop-loss hit
2023-12-22,2023-12-27,0.5083,0.5279,-38.559905567578326,Stop-loss hit
2024-01-03,2024-01-08,0.49,0.4707,-39.387755102040785,Stop-loss hit
2024-01-17,2024-01-23,0.4554,0.4653,21.739130434782528,Take-profit hit
2024-01-24,2024-01-25,0.4779,0.4622,32.852061100648655,Take-profit hit
2024-01-26,2024-01-29,0.475,0.485,-21.05263157894739,Stop-loss hit
2024-02-05,2024-02-07,0.4599,0.45,-21.526418786692684,Stop-loss hit
2024-02-15,2024-02-26,0.4779,0.4342,91.44172421008582,Stop-loss hit
2024-03-01,2024-03-04,0.4786,0.4907,-25.28207271207689,Stop-loss hit
2024-03-11,2024-03-13,0.5428,0.58,-68.53352984524689,Stop-loss hit
2024-03-20,2024-03-21,0.5887,0.5735,25.819602514013916,Take-profit hit
2024-03-27,2024-03-28,0.5884,0.61,-36.70972127804207,Stop-loss hit
2024-04-15,2024-04-22,0.74,0.6921,-64.72972972972966,Stop-loss hit
2024-04-22,2024-04-26,0.6921,0.7716,114.86779367143461,Stop-loss hit
2024-04-26,2024-04-30,0.7716,0.7204,66.35562467599782,Take-profit hit
2024-05-09,2024-05-10,0.8212,0.8119,11.324890404286514,Stop-loss hit
