,entry_index,exit_index,entry_price,exit_price,pnl,reason
30,2019-05-21,2019-05-31,2.54,2.58,15.748031496063007,Take-profit hit
31,2019-06-03,2019-06-04,2.66,2.67,-3.759398496240521,Stop-loss hit
32,2019-06-10,2019-06-14,2.46,2.53,28.455284552845463,Take-profit hit
33,2019-06-19,2019-06-20,2.69,2.94,-92.93680297397769,Stop-loss hit
34,2019-07-05,2019-07-10,2.8,2.86,21.42857142857145,Take-profit hit
35,2019-07-11,2019-07-16,2.77,3.18,148.01444043321305,Stop-loss hit
36,2019-07-16,2019-07-17,3.18,3.48,-94.33962264150937,Stop-loss hit
37,2019-07-24,2019-07-29,3.99,3.86,32.58145363408529,Take-profit hit
38,2019-08-05,2019-08-06,4.28,4.03,58.41121495327103,Take-profit hit
39,2019-08-07,2019-08-12,4.46,4.05,91.92825112107626,Take-profit hit
40,2019-08-13,2019-08-19,3.87,3.6,-69.76744186046511,Stop-loss hit
41,2019-08-27,2019-08-28,4.24,4.24,0.0,Stop-loss hit
42,2019-09-03,2019-09-06,4.31,3.73,134.57076566125284,Stop-loss hit
43,2019-09-06,2019-09-09,3.73,3.7,-8.042895442359196,Stop-loss hit
44,2019-09-18,2019-09-19,3.32,3.46,42.16867469879522,Take-profit hit
45,2019-09-24,2019-09-25,3.65,3.46,52.05479452054793,Take-profit hit
46,2019-09-26,2019-09-27,3.35,3.26,-26.865671641791135,Stop-loss hit
47,2019-10-11,2019-10-15,3.08,3.02,-19.480519480519497,Stop-loss hit
48,2019-10-15,2019-10-17,3.02,3.15,43.04635761589401,Take-profit hit
49,2019-10-21,2019-10-28,3.02,3.05,9.933774834437022,Take-profit hit
50,2019-11-01,2019-11-05,3.22,2.99,71.42857142857143,Stop-loss hit
51,2019-11-05,2019-11-07,2.99,3.12,43.47826086956518,Take-profit hit
52,2019-11-14,2019-11-20,3.2,3.15,15.625000000000083,Take-profit hit
53,2019-11-21,2019-11-25,3.03,3.0,-9.900990099009837,Stop-loss hit
54,2019-11-29,2019-12-02,3.28,3.29,-3.0487804878049483,Stop-loss hit
55,2019-12-11,2019-12-12,3.43,3.51,-23.323615160349746,Stop-loss hit
56,2019-12-23,2019-12-24,3.65,3.93,-76.71232876712335,Stop-loss hit
57,2020-01-08,2020-01-09,3.78,3.74,-10.582010582010474,Stop-loss hit
58,2020-01-21,2020-01-24,3.97,4.07,-25.18891687657433,Stop-loss hit
59,2020-01-24,2020-01-28,4.07,3.91,39.312039312039346,Take-profit hit
60,2020-01-30,2020-01-31,3.8,3.89,23.684210526315873,Take-profit hit
61,2020-02-03,2020-02-13,3.78,3.62,-42.32804232804225,Stop-loss hit
62,2020-02-21,2020-02-24,3.94,3.94,0.0,Stop-loss hit
63,2020-02-27,2020-02-28,3.33,2.97,-108.10810810810807,Stop-loss hit
64,2020-03-09,2020-03-11,3.0,2.67,-110.00000000000001,Stop-loss hit
65,2020-03-24,2020-03-27,2.84,2.46,133.80281690140842,Take-profit hit
66,2020-03-30,2020-04-06,2.19,2.28,41.09589041095884,Take-profit hit
67,2020-04-09,2020-04-14,2.39,2.66,-112.97071129707113,Stop-loss hit
68,2020-04-23,2020-04-27,2.63,2.72,-34.22053231939175,Stop-loss hit
69,2020-05-07,2020-05-14,3.27,3.32,-15.290519877675786,Stop-loss hit
70,2020-05-14,2020-05-15,3.32,3.94,-186.74698795180728,Stop-loss hit
71,2020-05-29,2020-06-01,4.43,4.82,-88.03611738148997,Stop-loss hit
72,2020-06-10,2020-06-15,4.77,4.55,46.121593291404565,Take-profit hit
73,2020-06-17,2020-06-18,4.33,4.22,-25.40415704387998,Stop-loss hit
74,2020-06-23,2020-06-30,4.97,5.05,-16.096579476861184,Stop-loss hit
75,2020-06-30,2020-07-02,5.05,4.89,31.68316831683171,Take-profit hit
76,2020-07-08,2020-07-13,5.03,4.98,9.940357852882668,Take-profit hit
77,2020-07-14,2020-07-15,5.07,5.12,-9.861932938855979,Stop-loss hit
78,2020-07-17,2020-07-20,5.2,5.86,-126.92307692307693,Stop-loss hit
79,2020-08-11,2020-08-12,5.95,6.07,20.168067226890773,Stop-loss hit
80,2020-08-26,2020-08-28,6.61,7.09,-72.6172465960665,Stop-loss hit
81,2020-08-28,2020-09-01,7.09,7.17,-11.283497884344158,Stop-loss hit
82,2020-09-10,2020-09-11,7.17,6.97,27.894002789400307,Take-profit hit
83,2020-09-16,2020-09-17,7.76,7.73,3.865979381443217,Stop-loss hit
84,2020-09-24,2020-09-25,6.36,6.25,-17.29559748427678,Stop-loss hit
85,2020-09-30,2020-10-05,6.34,6.55,33.12302839116719,Take-profit hit
86,2020-10-09,2020-10-13,6.98,6.88,14.32664756446999,Stop-loss hit
87,2020-10-21,2020-10-22,7.32,7.04,38.251366120218606,Take-profit hit
88,2020-10-28,2020-10-29,6.38,6.52,21.94357366771155,Stop-loss hit
89,2020-11-05,2020-11-06,7.73,8.0,-34.928848641655826,Stop-loss hit
90,2020-11-16,2020-11-17,6.83,6.62,-30.746705710102486,Stop-loss hit
91,2020-11-23,2020-11-27,6.19,6.23,6.4620355411954815,Take-profit hit
92,2020-12-01,2020-12-02,6.73,6.81,-11.887072808320829,Stop-loss hit
93,2020-12-07,2020-12-09,6.82,6.61,30.79178885630498,Take-profit hit
94,2020-12-14,2020-12-15,6.26,6.65,62.30031948881798,Take-profit hit
95,2020-12-16,2020-12-17,6.96,7.43,-67.52873563218387,Stop-loss hit
96,2020-12-30,2021-01-04,8.23,9.3,-130.01215066828678,Stop-loss hit
97,2021-01-14,2021-01-15,8.27,7.54,-88.27085852478834,Stop-loss hit
98,2021-01-21,2021-01-25,7.3,6.84,-63.01369863013698,Stop-loss hit
99,2021-01-27,2021-01-28,6.6,7.62,154.54545454545462,Take-profit hit
100,2021-01-29,2021-02-01,7.72,9.18,-189.11917098445596,Stop-loss hit
101,2021-06-14,2021-06-15,6.6,6.45,-22.72727272727265,Stop-loss hit
102,2021-06-28,2021-06-30,5.5,5.55,9.090909090909058,Take-profit hit
103,2021-07-06,2021-07-07,5.41,5.33,-14.787430683918682,Stop-loss hit
104,2021-07-12,2021-07-16,5.09,4.8,-56.9744597249509,Stop-loss hit
105,2021-07-16,2021-07-19,4.8,4.56,-50.00000000000005,Stop-loss hit
106,2021-07-29,2021-08-04,4.76,4.58,37.81512605042011,Take-profit hit
107,2021-08-06,2021-08-09,4.44,4.24,-45.045045045045086,Stop-loss hit
108,2021-08-12,2021-08-13,4.17,4.34,40.767386091127086,Take-profit hit
109,2021-08-17,2021-08-18,4.08,4.01,-17.15686274509811,Stop-loss hit
110,2021-08-27,2021-08-31,4.37,4.37,0.0,Stop-loss hit
111,2021-09-03,2021-09-07,4.56,4.38,39.47368421052626,Take-profit hit
112,2021-09-10,2021-09-13,4.2,4.58,90.47619047619044,Stop-loss hit
113,2021-09-13,2021-09-29,4.58,3.85,159.3886462882096,Stop-loss hit
114,2021-09-29,2021-10-06,3.85,4.01,41.55844155844147,Take-profit hit
115,2021-10-07,2021-10-08,4.1,4.15,-12.195121951219686,Stop-loss hit
116,2021-10-19,2021-10-25,4.58,5.07,-106.98689956331881,Stop-loss hit
117,2021-11-04,2021-11-05,4.85,5.05,41.237113402061894,Take-profit hit
118,2021-11-08,2021-11-09,5.14,5.18,-7.782101167315183,Stop-loss hit
119,2021-11-12,2021-11-15,3.81,3.97,41.994750656168016,Stop-loss hit
120,2021-11-26,2021-11-29,3.51,3.46,-14.245014245014197,Stop-loss hit
