,entry_index,exit_index,entry_price,exit_price,pnl,reason
28,2019-05-16,2019-05-17,2.13,2.15,9.389671361502355,Take-profit hit
29,2019-05-22,2019-05-23,2.07,2.06,-4.830917874396032,Stop-loss hit
30,2019-05-31,2019-06-03,2.17,2.27,-46.08294930875581,Stop-loss hit
31,2019-06-06,2019-06-10,2.29,2.18,48.034934497816536,Take-profit hit
32,2019-06-14,2019-06-17,2.16,2.31,69.4444444444444,Stop-loss hit
33,2019-06-17,2019-06-18,2.31,2.39,-34.63203463203467,Stop-loss hit
34,2019-07-03,2019-07-15,2.41,2.64,95.43568464730289,Stop-loss hit
35,2019-07-30,2019-08-05,3.26,3.32,-18.40490797546014,Stop-loss hit
36,2019-08-05,2019-08-07,3.32,3.37,-15.060240963855504,Stop-loss hit
37,2019-08-23,2019-08-27,4.0,4.46,-114.99999999999999,Stop-loss hit
38,2019-09-04,2019-09-05,4.54,4.3,52.86343612334806,Take-profit hit
39,2019-09-09,2019-09-12,4.07,4.16,22.113022113022076,Take-profit hit
40,2019-09-13,2019-09-16,4.01,4.17,39.90024937655864,Take-profit hit
41,2019-09-23,2019-09-24,4.54,4.55,-2.20264317180612,Stop-loss hit
42,2019-09-30,2019-10-01,3.88,3.91,7.731958762886663,Stop-loss hit
43,2019-10-11,2019-10-15,3.83,3.7,-33.94255874673627,Stop-loss hit
44,2019-10-24,2019-10-25,4.07,4.09,-4.914004914004809,Stop-loss hit
45,2019-10-29,2019-10-31,4.05,4.15,-24.691358024691493,Stop-loss hit
46,2019-10-31,2019-11-01,4.15,4.28,-31.32530120481925,Stop-loss hit
47,2019-11-11,2019-11-12,4.45,4.59,-31.4606741573033,Stop-loss hit
48,2019-11-25,2019-11-29,4.64,5.1,99.13793103448275,Stop-loss hit
49,2019-12-11,2019-12-20,5.54,5.36,32.49097472924183,Take-profit hit
50,2019-12-24,2019-12-30,5.73,5.77,-6.980802792320967,Stop-loss hit
51,2020-01-08,2020-01-09,5.32,5.31,-1.8796992481204275,Stop-loss hit
